simu_time,a1_x,positon_x_t,positon_x_t+1,distance_in_x
908613,9.810000192,0.845365286,0.847745717,0.002380431
908622,9.810007643,0.847745717,0.850117326,0.002371609
908631,9.810000192,0.850117326,0.852489114,0.002371788
908641,9.810007643,0.852489114,0.854860783,0.002371669
908650,9.809985291,0.854860783,0.857232511,0.002371728
908659,9.810015093,0.857232511,0.85960418,0.002371669
908669,9.809993673,0.85960418,0.861975849,0.002371669
908677,9.810007643,0.861975849,0.864347577,0.002371728
908686,9.809978772,0.864347577,0.866719306,0.002371729
908696,9.810007643,0.866719306,0.869091034,0.002371728
908708,9.810007643,0.869091034,0.871462762,0.002371728
908720,9.810015093,0.871462762,0.873768747,0.002305985
908729,9.809986222,0.873768747,0.876028121,0.002259374
908739,9.809993673,0.876028121,0.878287435,0.002259314
908749,9.8100272,0.878287435,0.880546808,0.002259373
908759,9.809960145,0.880546808,0.882806122,0.002259314
908768,9.810034651,0.882806122,0.885065436,0.002259314
908778,9.809985291,0.885065436,0.88732481,0.002259374
908787,9.809986222,0.88732481,0.889584124,0.002259314
908796,9.810015093,0.889584124,0.891843557,0.002259433
908806,9.810007643,0.891843557,0.894102871,0.002259314
908815,9.809992742,0.894102871,0.896362185,0.002259314
908824,9.809993673,0.896362185,0.898483992,0.002121807
908833,9.81003372,0.898483992,0.90058285,0.002098858
908842,9.80994245,0.90058285,0.902681828,0.002098978
908852,9.810046758,0.902681828,0.904780686,0.002098858
908860,9.809979703,0.904780686,0.906879544,0.002098858
908868,9.810014162,0.906879544,0.908978522,0.002098978
908877,9.809986222,0.908978522,0.91107744,0.002098918
908885,9.810014162,0.91107744,0.913176417,0.002098977
908895,9.809986222,0.913176417,0.915275335,0.002098918
908904,9.810000192,0.915275335,0.917374253,0.002098918
908913,9.8100272,0.917374253,0.919362664,0.001988411
908921,9.809960145,0.919362664,0.921251833,0.001889169
908929,9.810028132,0.921251833,0.923141122,0.001889289
908937,9.810000192,0.923141122,0.925030291,0.001889169
908945,9.81000578,0.925030291,0.92691952,0.001889229
908954,9.809972252,0.92691952,0.928808808,0.001889288
908961,9.810021613,0.928808808,0.930697978,0.00188917
908970,9.809985291,0.930697978,0.932587206,0.001889228
908979,9.810014162,0.932587206,0.934476435,0.001889229
908987,9.809986222,0.934476435,0.936365664,0.001889229
908997,9.810007643,0.936365664,0.938154161,0.001788497
909005,9.810014162,0.938154161,0.939791441,0.00163728
909015,9.809978772,0.939791441,0.941428781,0.00163734
909024,9.810007643,0.941428781,0.94306612,0.001637339
909033,9.809993673,0.94306612,0.94470346,0.00163734
909043,9.810015093,0.94470346,0.94634074,0.00163728
909052,9.809986222,0.94634074,0.947978139,0.001637399
909061,9.810014162,0.947978139,0.949615479,0.00163734
909069,9.809985291,0.949615479,0.951252759,0.00163728
909079,9.810007643,0.951252759,0.952890038,0.001637279
909088,9.810007643,0.952890038,0.954451323,0.001561285
909097,9.809992742,0.954451323,0.955809414,0.001358091
909105,9.810000192,0.955809414,0.957167566,0.001358152
909114,9.809986222,0.957167566,0.958525717,0.001358151
909122,9.810014162,0.958525717,0.959883749,0.001358032
909130,9.810015093,0.959883749,0.961241961,0.001358212
909139,9.809979703,0.961241961,0.962600052,0.001358091
909147,9.810000192,0.962600052,0.963958263,0.001358211
909156,9.809992742,0.963958263,0.965316296,0.001358033
909166,9.810040239,0.965316296,0.966674447,0.001358151
909175,9.809960145,0.966674447,0.968032658,0.001358211
909184,9.810028132,0.968032658,0.969119549,0.001086891
909194,9.809972252,0.969119549,0.97018981,0.001070261
909203,9.810014162,0.97018981,0.971260011,0.001070201
909212,9.810000192,0.971260011,0.972330213,0.001070202
909221,9.809993673,0.972330213,0.973400414,0.001070201
909230,9.810028132,0.973400414,0.974470615,0.001070201
909240,9.809965733,0.974470615,0.975540876,0.001070261
